Names	Acronyme	ProteomeSize	GenomeSizeMb	Phenotype	LINEAGE	LINSIMPLE
Arthrobotrys oligospora	Arol	11478	40	MULTICELL	PEZIZO	
Mycosphaerella graminicola	MYCGM	10972	39.7	MULTICELL	PEZIZO	
Sclerotinia sclerotiorum	Sclsc1	14503	38.2	MULTICELL	PEZIZO	
Neurospora crassa OR74A	NCRA	9758	38	MULTICELL	PEZIZO	
Stagonospora nodorum	Pnodorum	12380	37.2	MULTICELL	PEZIZO	
Fusarium graminearum v1.0	Fusgr1	13322	36.4	MULTICELL	PEZIZO	
Podospora anserina	Podan	10526	35	MULTICELL	PEZIZO	
Neosartorya fumigatus	Nefu	10414	31.8	MULTICELL	PEZIZO	
Aspergillus nidulans	Anid	10771	30.1	MULTICELL	PEZIZO	
Uncinocarpus reesii	Unre	7760	22.33	MULTICELL	PEZIZO	
Ajellomyces dermatitidis 	Ajeder	9214	75.4	DIMORPHIC	PEZIZO	
Chaetomium globosum 	Chgl	11041	34.89	MULTICELL	PEZIZO	
Talaromyces stipitatus	Tasti	13022	35.69	MULTICELL	PEZIZO	
Baudoinia compniacensis	Bacom	10508	21.88	MULTICELL	PEZIZO	
Beauveria bassiana	Beba	10361	33.7	MULTICELL	PEZIZO	
Botryotinia fuckeliana	Bofu	11018	42.74	MULTICELL	PEZIZO	
Cochliobolus sativus	Cosa	12174	34.41	MULTICELL	PEZIZO	
Colletotrichum gloeosporioides	Cogl	16388	55.61	MULTICELL	PEZIZO	
Thielavia terrestris	Thte	9760	36.92	MULTICELL	PEZIZO	
Verticillium alfalfae	Veal	10233	32.86	MULTICELL	PEZIZO	
Ashbya gossypii	Asgo	4760	9.12	MULTICELL	SACCHARO	
Yarrowia lipolytica	YLIP	6448	20.6	MULTICELL	SACCHARO	
Saccharomyces cerevisiae	Scer	5887	12.2	YEAST	SACCHARO	
Neolecta irregularis	Nirr	5546	14.6	MULTICELL	TAPHRINO	
Schizosaccharomyces pombe	Spom	5112	12.6	YEAST	TAPHRINO	
